County Name,Median Home Price,FIPS,Population,Median Income,Housing Affordability Index,Classification
"Franklin County, Washington",432220,53021,95313,72452,16.762759705705427,Suburban
"Warren County, New Jersey",431990,34041,109354,85163,19.714113752633164,Suburban
"Chesapeake city, Virginia",431620,51550,247172,85563,19.823687502896064,Urban
"Grand Isle County, Vermont",429710,50013,7249,85154,19.81662051150776,Suburban
"Sublette County, Wyoming",429480,56035,8830,82342,19.172487659495204,Rural
"Cabarrus County, North Carolina",428610,37025,221200,75765,17.676909078182966,Urban
"Ocean County, New Jersey",428440,34029,630057,76644,17.889085986369153,Urban
"York County, South Carolina",428310,45091,276569,72234,16.86488758142467,Urban
"Butte County, California",427620,6007,217884,59863,13.999111360553762,Suburban
"Fort Bend County, Texas",427330,48157,806497,102590,24.00720754452063,Urban
"Harford County, Maryland",427120,24025,259162,98495,23.06026409,Urban
"Klickitat County, Washington",426690,53039,22478,59583,13.96400196864234,Rural
"Middlesex County, Connecticut",425710,9007,164568,90833,21.336825538512134,Urban
"Teller County, Colorado",425540,8119,24607,68677,16.138788363021103,Suburban
"Hall County, Georgia",425390,13139,201703,67571,15.88448247490538,Suburban
"Lake County, Montana",424310,30047,31030,53154,12.527161744950629,Rural
"Indian River County, Florida",424130,12061,158002,61594,14.522434159337935,Suburban
"Calaveras County, California",422570,6009,45349,70119,16.593463804813403,Rural
"Tillamook County, Oregon",421720,41057,27129,55730,13.214929337000852,Rural
"Curry County, Oregon",421440,41015,23234,57553,13.656273728170085,Rural
"Henderson County, North Carolina",420370,37089,115613,59928,14.25601256036349,Suburban
"Henrico County, Virginia",420120,51087,331924,76345,18.172188898409978,Urban
"Osceola County, Florida",420050,12097,380331,58513,13.930008332341387,Urban
"Yellowstone County, Montana",419660,30111,163593,65656,15.645045989610637,Suburban
"Strafford County, New Hampshire",419400,33017,130598,76560,18.25464949928469,Urban
"Berkeley County, South Carolina",419300,45015,224806,70786,16.88194610064393,Suburban
"Carson City, Nevada",418120,32510,57957,62217,14.880177939347556,Suburban
"Dorchester County, South Carolina",417610,45035,160180,68046,16.294150044299705,Suburban
"Amador County, California",416490,6005,40095,69955,16.79632164037552,Rural
"Dakota County, Minnesota",413290,27037,435863,93892,22.7181882,Urban
"Carbon County, Montana",412860,30009,10488,63178,15.30252385796638,Suburban
"Okaloosa County, Florida",412820,12091,209230,67390,16.32430599,Suburban
"Addison County, Vermont",412640,50001,37306,77978,18.89734393175649,Rural
"Atlantic County, New Jersey",412290,34001,273865,66473,16.12287467559242,Suburban
"St. Lucie County, Florida",412040,12111,324599,59807,14.514852926900302,Suburban
"Shasta County, California",411090,6089,181935,61937,15.066530443455203,Suburban
"Grand Traverse County, Michigan",411040,26055,94562,69393,16.882298559750875,Rural
"Santa Rosa County, Florida",410510,12113,184345,77260,18.82049158363986,Suburban
"Knox County, Tennessee",410350,47093,475286,62911,15.33105885219934,Suburban
"Livingston County, Michigan",410120,26093,193234,88908,21.678533112259828,Urban
"Manassas Park city, Virginia",408250,51685,17081,90544,22.17856705450092,Urban
